Day,Bar,Hour,Minute,Second
2,1,0,7,0
2,1,0,12,53
2,1,0,13,43
2,1,0,14,33
2,1,0,15,23
2,1,0,16,13
2,1,0,17,3
2,1,0,51,51
2,1,0,52,41
2,1,0,53,31
2,1,0,54,21
2,1,0,55,11
2,1,0,56,1
2,1,1,2,53
2,1,1,3,43
2,1,1,4,33
2,1,1,5,23
2,1,1,6,13
2,1,1,7,3
2,1,1,41,51
2,1,1,42,41
2,1,1,43,31
2,1,1,44,21
2,1,1,45,11
2,1,1,46,1
2,1,2,31,51
2,1,2,32,41
2,1,2,33,31
2,1,2,34,21
2,1,2,35,11
2,1,2,36,1
2,1,3,21,51
2,1,3,22,41
2,1,3,23,31
2,1,3,24,21
2,1,3,25,11
2,1,3,26,1
2,1,3,59,59
2,1,4,11,51
2,1,4,12,41
2,1,4,13,31
2,1,4,14,21
2,1,4,15,11
2,1,4,16,1
2,1,4,49,59
2,1,4,50,49
2,1,4,51,39
2,1,4,52,29
2,1,4,53,19
2,1,4,54,9
2,1,5,1,51
2,1,5,2,41
2,1,5,3,31
2,1,5,4,21
2,1,5,5,11
2,1,5,6,1
2,1,5,39,59
2,1,5,40,49
2,1,5,41,39
2,1,5,42,29
2,1,5,43,19
2,1,5,44,9
2,1,6,29,59
2,1,6,30,49
2,1,6,31,39
2,1,6,32,29
2,1,6,33,19
2,1,6,34,9
2,1,6,50,53
2,1,6,51,43
2,1,6,52,33
2,1,6,53,23
2,1,6,54,13
2,1,6,55,3
2,1,7,19,59
2,1,7,20,49
2,1,7,21,39
2,1,7,22,29
2,1,7,23,19
2,1,7,24,9
2,1,7,40,53
2,1,7,41,43
2,1,7,42,33
2,1,7,43,23
2,1,7,44,13
2,1,7,45,3
2,1,8,9,59
2,1,8,10,49
2,1,8,11,39
2,1,8,12,29
2,1,8,13,19
2,1,8,14,9
2,1,8,30,53
2,1,8,31,43
2,1,8,32,33
2,1,8,33,23
2,1,8,34,13
2,1,8,35,3
2,1,9,0,49
2,1,9,1,39
2,1,9,2,29
2,1,9,3,19
2,1,9,4,9
2,1,9,20,53
2,1,9,21,43
2,1,9,22,33
2,1,9,23,23
2,1,9,24,13
2,1,9,25,3
2,1,9,59,51
2,1,10,10,53
2,1,10,11,43
2,1,10,12,33
2,1,10,13,23
2,1,10,14,13
2,1,10,15,3
2,1,10,49,51
2,1,10,50,41
2,1,10,51,31
2,1,10,52,21
2,1,10,53,11
2,1,10,54,1
2,1,11,0,53
2,1,11,1,43
2,1,11,2,33
2,1,11,3,23
2,1,11,4,13
2,1,11,5,3
2,1,11,39,51
2,1,11,40,41
2,1,11,41,31
2,1,11,42,21
2,1,11,43,11
2,1,11,44,1
2,1,12,29,51
2,1,12,30,41
2,1,12,31,31
2,1,12,32,21
2,1,12,33,11
2,1,12,34,1
2,1,13,19,51
2,1,13,20,41
2,1,13,21,31
2,1,13,22,21
2,1,13,23,11
2,1,13,24,1
2,1,13,57,59
2,1,13,58,49
2,1,13,59,39
2,1,14,9,51
2,1,14,10,41
2,1,14,11,31
2,1,14,12,21
2,1,14,13,11
2,1,14,14,1
2,1,14,47,59
2,1,14,48,49
2,1,14,49,39
2,1,14,50,29
2,1,14,51,19
2,1,14,52,9
2,1,14,53,0
2,1,15,0,41
2,1,15,1,31
2,1,15,2,21
2,1,15,3,11
2,1,15,4,1
2,1,15,37,59
2,1,15,38,49
2,1,15,39,39
2,1,15,40,29
2,1,15,41,19
2,1,15,42,9
2,1,15,43,0
2,1,15,58,53
2,1,15,59,43
2,1,16,27,59
2,1,16,28,49
2,1,16,29,39
2,1,16,30,29
2,1,16,31,19
2,1,16,32,9
2,1,16,33,0
2,1,16,48,53
2,1,16,49,43
2,1,16,50,33
2,1,16,51,23
2,1,16,52,13
2,1,16,53,3
2,1,17,17,59
2,1,17,18,49
2,1,17,19,39
2,1,17,20,29
2,1,17,21,19
2,1,17,22,9
2,1,17,23,0
2,1,17,38,53
2,1,17,39,43
2,1,17,40,33
2,1,17,41,23
2,1,17,42,13
2,1,17,43,3
2,1,18,7,59
2,1,18,8,49
2,1,18,9,39
2,1,18,10,29
2,1,18,11,19
2,1,18,12,9
2,1,18,13,0
2,1,18,28,53
2,1,18,29,43
2,1,18,30,33
2,1,18,31,23
2,1,18,32,13
2,1,18,33,3
2,1,19,0,29
2,1,19,1,19
2,1,19,2,9
2,1,19,3,0
2,1,19,18,53
2,1,19,19,43
2,1,19,20,33
2,1,19,21,23
2,1,19,22,13
2,1,19,23,3
2,1,19,57,51
2,1,19,58,41
2,1,19,59,31
2,1,20,8,53
2,1,20,9,43
2,1,20,10,33
2,1,20,11,23
2,1,20,12,13
2,1,20,13,3
2,1,20,47,51
2,1,20,48,41
2,1,20,49,31
2,1,20,50,21
2,1,20,51,11
2,1,20,52,1
2,1,21,0,33
2,1,21,1,23
2,1,21,2,13
2,1,21,3,3
2,1,21,37,51
2,1,21,38,41
2,1,21,39,31
2,1,21,40,21
2,1,21,41,11
2,1,21,42,1
2,1,22,27,51
2,1,22,28,41
2,1,22,29,31
2,1,22,30,21
2,1,22,31,11
2,1,22,32,1
